"02/06/08","C0216","SI160408","0041241-0003","Ring ladies","1","PCS","810.36","810.36","750","WG","0","CUSTOM","HDB-TWIN07","A3512-LP0007114B3000","FZE032/08/SHAL SA","HDB1055W","SOR040009","65000","6.55","","6.54524","21/04/08","MKS BRAND","6.54524","0.0309325546578240804"
"02/06/08","C0216","SI160408","0041242-0002","Ring ladies","1","PCS","378.64","378.64","750","WG","0","CUSTOM","HDB-TWIN07","A3513-LP0007113J3124","FZE032/08/SHAL SA","HDB1056E","SOR040009","70000","6.61","","6.61376","21/04/08","MKS BRAND","6.61376","0.0309325546578240804"
"02/06/08","C0216","SI160408","0041243-0002","Ring ladies","1","PCS","382.97","382.97","750","WG","0","CUSTOM","HDB-TWIN07","A3514-LP0007113J3000","FZE032/08/SHAL SA","HDB1056W","SOR040009","80000","5.74","","5.7412","21/04/08","MKS BRAND","5.7412","0.0309325546578240804"
"02/06/08","C0216","SI160408","0041980-0002","Ring ladies","1","PCS","523.07","523.07","750","WG","0","CUSTOM","HDB-TWIN07","A3817-LP000711383124","FZE032/08/SHAL SA","HDB1312E","SOR040009","90000","7.51","","7.50888","21/04/08","MKS BRAND","7.50888","0.0309325546578240804"
"02/06/08","C0216","SI160408","0041981-0002","Ring ladies","1","PCS","562.23","562.23","750","WG","0","CUSTOM","HDB-TWIN07","A3818-LP000711383000","FZE032/08/SHAL SA","HDB1313W","SOR040009","100000","6.93","","6.92536","21/04/08","MKS BRAND","6.92536","0.0309325546578240804"
"02/06/08","C0216","SI160408","0041992-0002","Ring ladies","1","PCS","465.36","465.36","750","WG","0","CUSTOM","HDB-TWIN07","A3829-LP000711463124","FZE032/08/SHAL SA","HDB1324E","SOR040009","110000","8.32","","8.32152","21/04/08","MKS BRAND","8.32152","0.0309325546578240804"
"02/06/08","C0216","SI160408","0041993-0002","Ring ladies","1","PCS","534.81","534.81","750","WG","0","CUSTOM","HDB-TWIN07","A3830-LP000711463000","FZE032/08/SHAL SA","HDB1325W","SOR040009","120000","7.82","","7.81536","21/04/08","MKS BRAND","7.81536","0.0309325546578240804"
"02/06/08","C0216","SI160408","0041994-0002","Ring ladies","1","PCS","365.16","365.16","750","WG","0","CUSTOM","HDB-TWIN07","A3831-LP0007114C3124","FZE032/08/SHAL SA","HDB1326E","SOR040009","130000","6.99","","6.992","21/04/08","MKS BRAND","6.992","0.0309325546578240804"
"02/06/08","C0216","SI160408","0041995-0002","Ring ladies","1","PCS","396.47","396.47","750","WG","0","CUSTOM","HDB-TWIN07","A3832-LP0007114C3000","FZE032/08/SHAL SA","HDB1327W","SOR040009","140000","7.13","","7.12904","21/04/08","MKS BRAND","7.12904","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042000-0002","Ring ladies","1","PCS","355.38","355.38","750","WG","0","CUSTOM","HDB-TWIN07","A3837-LP0007114B3124","FZE032/08/SHAL SA","HDB1332E","SOR040009","150000","7.72","","7.72344","21/04/08","MKS BRAND","7.72344","0.0309325546578240804"
