"01/05/08","C0216","SI160473","12200","Room Rental,F&B & Laundry for K.Rajesh","1","","694.35","694.35","","","0","COSTS","","","","","","10000","0","","0","01/05/08","","0","0.0313742223114644546"
"01/05/08","C0216","SI160479","12200","Export Expense  Charge to Dubai","1","","943.75","943.75","","","0","COSTS","","","","","","10000","0","","0","01/05/08","","0","0.0313742223114644546"
"01/05/08","C0216","SI160480","12200","Export Expense  Charge to Dubai","1","","815.62","815.62","","","0","COSTS","","","","","","10000","0","","0","01/05/08","","0","0.0313742223114644546"
"01/05/08","C0150","SI160507","12200","Handling Charge for delivery","1","","104.86","104.86","","","0","COSTS","","","","","","10000","0","","0","01/05/08","","0","0.0307006502397720784"
"01/05/08","C0216","SI160508","12200","Export Expense Charge to Dubai","1","","1,006.1","1,006.1","","","0","COSTS","","","","","","10000","0","","0","01/05/08","","0","0.0313742223114644546"
"01/05/08","C0216","SI160509","12200","Export Expense Charge to Dubai","1","","867.69","867.69","","","0","COSTS","","","","","","10000","0","","0","01/05/08","","0","0.0313742223114644546"
"02/05/08","C0167","SI159859","994671195800","Dupx Turquoise RD,Facett,10x5","1","PCS","35.49","35.49"," "," ","0","SEMI","","","PO#Email dt 25.04.08","","SOR040086","10000","0","","0","28/04/08","","0","0.0316232532105507822"
"02/05/08","C0197","SI159903","FREIGHT","Freight & Insurance Cost","1","PCS","160.5","160.5","","","0","COSTS","","","","","SOR040128","10000","0","","0","02/05/08","","0","0.0316232532105507822"
"02/05/08","C0197","SI159904","FREIGHT","Freight & Insurance Cost","1","PCS","114","114","","","0","COSTS","","","","","SOR040129","10000","0","","0","02/05/08","","0","0.0316232532105507822"
"02/05/08","C0081","SI159905","FREIGHT","Freight & Insurance Cost","1","PCS","117","117","","","0","COSTS","","","","","SOR040130","10000","0","","0","02/05/08","","0","0.0316232532105507822"
"02/05/08","C0001","SI159870","REPAIR","Repair cost for jewelry","1","PCS","7.89","7.89","","","0","LABOUR","","","VLS146710[3]","","REP008957","30000","0","","0","11/04/08","","0","0.0203582647429463702"
